Period,USA,NorthEast,Midwest,South,West,Status,NorthEast Rate of Change,Midwest Rate of Change,South Rate of Change,West Rate of Change
January,597.3,56.6,83.5,296.6,160.6,Under Construction,,,,
February,600.4,55.4,78.6,300.8,165.6,Under Construction,-0.021201413427561877,-0.05868263473053903,0.014160485502360043,0.031133250311332406
March,619.0,56.1,84.1,307.9,170.9,Under Construction,0.012635379061371799,0.06997455470737912,0.023603723404255206,0.03200483091787443
April,636.9,58.8,87.4,316.2,174.5,Under Construction,0.048128342245989275,0.039239001189060874,0.026956804157193925,0.021064950263311788
May,657.9,59.8,95.1,322.7,180.4,Under Construction,0.017006802721088343,0.08810068649885561,0.020556609740670417,0.03381088825214906
June,687.6,61.9,96.8,343.9,185.1,Under Construction,0.03511705685618738,0.017875920084122088,0.0656956925937402,0.026053215077605163
July,714.2,61.2,101.9,361.6,189.5,Under Construction,-0.011308562197091976,0.052685950413223326,0.05146845013085222,0.02377093462992974
August,729.3,62.7,104.2,374.7,187.7,Under Construction,0.02450980392156854,0.02257114818449457,0.03622787610619449,-0.009498680738786347
September,741.9,63.8,105.8,380.7,191.6,Under Construction,0.01754385964912264,0.015355086372360827,0.01601281024819845,0.02077783697389446
Octoberr,750.0,63.5,106.8,387.3,192.4,Under Construction,-0.00470219435736674,0.00945179584120992,0.01733648542159183,0.0041753653444676075
Novemberr,760.7,64.0,104.9,397.7,194.1,Under Construction,0.007874015748031482,-0.01779026217228452,0.026852569067906007,0.008835758835758822
Decemberp,748.8,61.8,107.0,391.9,188.0,Under Construction,-0.034375000000000044,0.020019065776930356,-0.01458385717877797,-0.03142709943328181
January,72.2,5.4,10.0,41.8,15.1,Construction Completed,-0.912621359223301,-0.9065420560747663,-0.8933401377902526,-0.9196808510638298
February,72.5,4.1,10.2,41.0,17.3,Construction Completed,-0.2407407407407408,0.020000000000000018,-0.019138755980861122,0.14569536423841067
March,83.9,6.1,9.4,50.4,17.9,Construction Completed,0.4878048780487805,-0.07843137254901955,0.2292682926829268,0.03468208092485536
April,78.9,3.4,9.6,45.9,20.0,Construction Completed,-0.44262295081967207,0.02127659574468077,-0.0892857142857143,0.1173184357541901
May,80.3,4.0,9.7,47.5,19.1,Construction Completed,0.17647058823529416,0.01041666666666674,0.034858387799564294,-0.04499999999999993
June,80.9,6.5,11.8,40.8,21.8,Construction Completed,0.625,0.21649484536082486,-0.14105263157894743,0.1413612565445026
July,78.5,4.9,9.8,43.2,20.6,Construction Completed,-0.24615384615384606,-0.1694915254237288,0.05882352941176494,-0.05504587155963303
August,83.0,5.1,10.0,47.0,20.9,Construction Completed,0.04081632653061207,0.020408163265306145,0.0879629629629628,0.014563106796116276
September,79.0,4.8,11.3,44.3,18.6,Construction Completed,-0.05882352941176472,0.13000000000000012,-0.057446808510638325,-0.11004784688995206
Octoberr,83.0,4.8,11.7,43.5,23.0,Construction Completed,0.0,0.03539823008849541,-0.018058690744920947,0.23655913978494625
Novemberr,78.7,4.7,11.9,42.6,19.5,Construction Completed,-0.02083333333333326,0.017094017094017255,-0.020689655172413723,-0.15217391304347827
Decemberp,95.9,6.8,9.4,56.0,23.8,Construction Completed,0.44680851063829774,-0.2100840336134454,0.3145539906103285,0.22051282051282062
January,77.9,5.0,7.8,47.6,17.5,Construction Started,-0.2647058823529411,-0.17021276595744683,-0.15000000000000002,-0.26470588235294124
February,74.6,3.4,5.1,43.8,22.4,Construction Started,-0.32000000000000006,-0.34615384615384615,-0.0798319327731093,0.28
March,102.8,7.2,14.7,58.0,22.9,Construction Started,1.1176470588235294,1.8823529411764706,0.32420091324200917,0.022321428571428603
April,97.2,6.7,13.1,53.2,24.3,Construction Started,-0.06944444444444442,-0.108843537414966,-0.08275862068965512,0.061135371179039444
May,100.5,5.6,17.6,52.5,24.9,Construction Started,-0.16417910447761197,0.34351145038167963,-0.013157894736842146,0.024691358024691246
June,111.6,8.5,13.8,61.9,27.4,Construction Started,0.517857142857143,-0.21590909090909094,0.17904761904761912,0.10040160642570273
July,104.6,4.3,15.1,61.0,24.1,Construction Started,-0.49411764705882355,0.09420289855072461,-0.014539579967689842,-0.12043795620437947
August,98.0,6.1,12.3,59.9,19.8,Construction Started,0.4186046511627908,-0.1854304635761589,-0.0180327868852459,-0.17842323651452285
September,93.5,6.4,12.6,52.0,22.6,Construction Started,0.049180327868852514,0.024390243902439046,-0.13188647746243742,0.14141414141414144
Octoberr,91.6,4.8,13.0,51.1,22.8,Construction Started,-0.2500000000000001,0.031746031746031855,-0.017307692307692246,0.008849557522123908
Novemberr,89.5,4.9,10.1,52.9,21.5,Construction Started,0.02083333333333348,-0.22307692307692306,0.03522504892367895,-0.05701754385964919
Decemberp,81.0,4.8,12.3,47.7,16.2,Construction Started,-0.020408163265306256,0.21782178217821802,-0.09829867674858217,-0.24651162790697678
