Period,USA,USA Rate of Change,0-125,0-125 Rate of Change,125-149,125-149 Rate of Change,150-199,150-199 Rate of Change,200-249,200-249 Rate of Change,250-299,250-299 Rate of Change,300-399,300-399 Rate of Change,400-499,400-499 Rate of Change,500-749,500-749 Rate of Change,750 and Above,750 and Above Rate of Change
2014Q1 ,106,,2,,5,,18,,18,,16,,22,,12,,8,,5,
2014Q2 ,120,0.13207547169811318,2,0.0,5,0.0,20,0.11111111111111116,19,0.05555555555555558,18,0.125,25,0.13636363636363646,14,0.16666666666666674,13,0.625,4,-0.19999999999999996
2014Q3 ,107,-0.10833333333333328,4,1.0,4,-0.19999999999999996,18,-0.09999999999999998,16,-0.1578947368421053,18,0.0,21,-0.16000000000000003,12,-0.1428571428571429,10,-0.23076923076923073,5,0.25
2014Q4 ,104,-0.028037383177570097,2,-0.5,4,0.0,15,-0.16666666666666663,15,-0.0625,16,-0.11111111111111116,22,0.04761904761904767,12,0.0,11,0.10000000000000009,6,0.19999999999999996
2015Q1 ,131,0.2596153846153846,1,-0.5,4,0.0,20,0.33333333333333326,23,0.5333333333333334,22,0.375,26,0.18181818181818188,16,0.33333333333333326,13,0.18181818181818188,6,0.0
2015Q2 ,140,0.06870229007633588,2,1.0,4,0.0,22,0.10000000000000009,22,-0.04347826086956519,25,0.13636363636363646,30,0.15384615384615374,17,0.0625,14,0.07692307692307687,5,-0.16666666666666663
2015Q3 ,119,-0.15000000000000002,2,0.0,4,0.0,18,-0.18181818181818177,18,-0.18181818181818177,18,-0.28,27,-0.09999999999999998,15,-0.11764705882352944,11,-0.2142857142857143,5,0.0
2015Q4 ,112,-0.05882352941176472,2,0.0,3,-0.25,13,-0.2777777777777778,20,0.11111111111111116,18,0.0,22,-0.18518518518518523,16,0.06666666666666665,12,0.09090909090909083,6,0.19999999999999996
2016Q1 ,134,0.1964285714285714,2,0.0,4,0.33333333333333326,18,0.3846153846153846,19,-0.050000000000000044,25,0.38888888888888884,30,0.36363636363636354,18,0.125,14,0.16666666666666674,5,-0.16666666666666663
2016Q2 ,158,0.17910447761194037,1,-0.5,4,0.0,23,0.2777777777777777,23,0.21052631578947367,25,0.0,38,0.2666666666666666,21,0.16666666666666674,18,0.2857142857142858,6,0.19999999999999996
2016Q3 ,144,-0.08860759493670889,1,0.0,4,0.0,19,-0.17391304347826086,22,-0.04347826086956519,23,-0.07999999999999996,35,-0.07894736842105265,19,-0.09523809523809523,15,-0.16666666666666663,6,0.0
2016Q4 ,125,-0.13194444444444442,1,0.0,3,-0.25,16,-0.1578947368421053,19,-0.13636363636363635,18,-0.21739130434782605,31,-0.11428571428571432,18,-0.052631578947368474,14,-0.06666666666666665,6,0.0
2017Q1 ,156,0.248,1,0.0,5,0.6666666666666667,17,0.0625,24,0.26315789473684204,24,0.33333333333333326,36,0.16129032258064524,22,0.22222222222222232,20,0.4285714285714286,7,0.16666666666666674
2017Q2 ,170,0.08974358974358965,1,0.0,3,-0.4,16,-0.05882352941176472,29,0.20833333333333326,27,0.125,40,0.11111111111111116,25,0.13636363636363646,20,0.0,8,0.1428571428571428
2017Q3 ,142,-0.16470588235294115,1,0.0,3,0.0,16,0.0,21,-0.27586206896551724,20,-0.2592592592592593,36,-0.09999999999999998,21,-0.16000000000000003,17,-0.15000000000000002,7,-0.125
2017Q4 ,144,0.014084507042253502,1,0.0,2,-0.33333333333333337,12,-0.25,22,0.04761904761904767,21,0.050000000000000044,36,0.0,21,0.0,20,0.17647058823529416,9,0.2857142857142858
2018Q1 ,168,0.16666666666666674,1,0.0,4,1.0,15,0.25,23,0.045454545454545414,26,0.23809523809523814,44,0.22222222222222232,25,0.19047619047619047,22,0.10000000000000009,7,-0.2222222222222222
2018Q2 ,179,0.06547619047619047,2,1.0,3,-0.25,20,0.33333333333333326,25,0.08695652173913038,31,0.1923076923076923,41,-0.06818181818181823,23,-0.07999999999999996,22,0.0,11,0.5714285714285714
2018Q3 ,145,-0.1899441340782123,2,0.0,2,-0.33333333333333337,11,-0.44999999999999996,23,-0.07999999999999996,22,-0.29032258064516125,37,-0.09756097560975607,22,-0.04347826086956519,18,-0.18181818181818177,10,-0.09090909090909094
2018Q4 ,126,-0.13103448275862073,2,0.0,3,0.5,10,-0.09090909090909094,20,-0.13043478260869568,20,-0.09090909090909094,32,-0.1351351351351351,18,-0.18181818181818177,15,-0.16666666666666663,6,-0.4
2019Q1 ,174,0.38095238095238093,1,-0.5,4,0.33333333333333326,13,0.30000000000000004,31,0.55,29,0.44999999999999996,43,0.34375,25,0.38888888888888884,21,0.3999999999999999,7,0.16666666666666674
2019Q2 ,186,0.06896551724137923,1,0.0,3,-0.25,14,0.07692307692307687,32,0.032258064516129004,29,0.0,49,0.13953488372093026,27,0.08000000000000007,23,0.09523809523809534,9,0.2857142857142858
2019Q3 ,168,-0.09677419354838712,1,0.0,2,-0.33333333333333337,14,0.0,29,-0.09375,28,-0.03448275862068961,41,-0.16326530612244894,22,-0.18518518518518523,22,-0.04347826086956519,9,0.0
2019Q4 ,154,-0.08333333333333337,1,0.0,2,0.0,11,-0.2142857142857143,25,-0.13793103448275867,26,-0.0714285714285714,39,-0.04878048780487809,21,-0.045454545454545414,22,0.0,8,-0.11111111111111116
2020Q1 ,181,0.17532467532467533,1,0.0,2,0.0,14,0.2727272727272727,30,0.19999999999999996,27,0.03846153846153855,47,0.20512820512820507,27,0.2857142857142858,23,0.045454545454545414,9,0.125
2020Q2 ,196,0.08287292817679548,1,0.0,2,0.0,16,0.1428571428571428,30,0.0,33,0.22222222222222232,52,0.1063829787234043,31,0.14814814814814814,22,-0.04347826086956519,8,-0.11111111111111116
2020Q3 ,243,0.23979591836734704,0,-1.0,1,-0.5,13,-0.1875,33,0.10000000000000009,46,0.39393939393939403,72,0.3846153846153846,34,0.09677419354838701,30,0.36363636363636354,14,0.75
2020Q4 ,202,-0.16872427983539096,0,,0,-1.0,9,-0.3076923076923077,23,-0.303030303030303,33,-0.28260869565217395,61,-0.1527777777777778,39,0.1470588235294117,27,-0.09999999999999998,9,-0.3571428571428571
2021Q1 ,229,0.13366336633663356,1,inf,1,inf,7,-0.2222222222222222,26,0.13043478260869557,36,0.09090909090909083,63,0.032786885245901676,44,0.1282051282051282,38,0.40740740740740744,14,0.5555555555555556
2021Q2 ,200,-0.1266375545851528,0,-1.0,1,0.0,2,-0.7142857142857143,17,-0.34615384615384615,30,-0.16666666666666663,60,-0.04761904761904767,36,-0.18181818181818177,40,0.05263157894736836,15,0.0714285714285714
2021Q3 ,175,-0.125,0,,0,-1.0,1,-0.5,11,-0.3529411764705882,26,-0.1333333333333333,42,-0.30000000000000004,39,0.08333333333333326,38,-0.050000000000000044,17,0.1333333333333333
2021Q4 ,158,-0.0971428571428572,1,inf,0,,1,0.0,8,-0.2727272727272727,18,-0.3076923076923077,46,0.09523809523809534,35,-0.10256410256410253,34,-0.10526315789473684,15,-0.11764705882352944
