Period,Total Sold,Total Sold Rate of Change,Conventional,Conventional Rate of Change,FHA Insured,FHA Insured Rate of Change,VA Guaranteed,VA Guaranteed Rate of Change,Cash,Cash Rate of Change
2014Q1,106,,76,,14,,9,,8,
2014Q2,120,0.13207547169811318,83,0.09210526315789469,13,-0.0714285714285714,13,0.4444444444444444,10,0.25
2014Q3,107,-0.10833333333333328,78,-0.06024096385542166,13,0.0,8,-0.3846153846153846,8,-0.19999999999999996
2014Q4,104,-0.028037383177570097,76,-0.02564102564102566,10,-0.23076923076923073,9,0.125,10,0.25
2015Q1,131,0.2596153846153846,91,0.19736842105263164,21,1.1,11,0.22222222222222232,7,-0.30000000000000004
2015Q2,140,0.06870229007633588,95,0.04395604395604402,24,0.1428571428571428,13,0.18181818181818188,8,0.1428571428571428
2015Q3,119,-0.15000000000000002,83,-0.12631578947368416,18,-0.25,11,-0.15384615384615385,7,-0.125
2015Q4,112,-0.05882352941176472,79,-0.048192771084337394,17,-0.05555555555555558,9,-0.18181818181818177,6,-0.1428571428571429
2016Q1,134,0.1964285714285714,93,0.17721518987341778,23,0.3529411764705883,11,0.22222222222222232,7,0.16666666666666674
2016Q2,158,0.17910447761194037,108,0.16129032258064524,27,0.17391304347826098,15,0.36363636363636354,8,0.1428571428571428
2016Q3,144,-0.08860759493670889,106,-0.01851851851851849,20,-0.2592592592592593,12,-0.19999999999999996,7,-0.125
2016Q4,125,-0.13194444444444442,89,-0.160377358490566,18,-0.09999999999999998,11,-0.08333333333333337,7,0.0
2017Q1,156,0.248,113,0.2696629213483146,22,0.22222222222222232,14,0.2727272727272727,7,0.0
2017Q2,170,0.08974358974358965,121,0.07079646017699126,23,0.045454545454545414,15,0.0714285714285714,11,0.5714285714285714
2017Q3,142,-0.16470588235294115,104,-0.14049586776859502,21,-0.08695652173913049,10,-0.33333333333333337,7,-0.36363636363636365
2017Q4,144,0.014084507042253502,104,0.0,18,-0.1428571428571429,12,0.19999999999999996,10,0.4285714285714286
2018Q1,168,0.16666666666666674,124,0.1923076923076923,20,0.11111111111111116,15,0.25,9,-0.09999999999999998
2018Q2,179,0.06547619047619047,134,0.08064516129032251,19,-0.050000000000000044,12,-0.19999999999999996,13,0.4444444444444444
2018Q3,145,-0.1899441340782123,108,-0.19402985074626866,20,0.05263157894736836,7,-0.41666666666666663,10,-0.23076923076923073
2018Q4,126,-0.13103448275862073,94,-0.12962962962962965,16,-0.19999999999999996,8,0.1428571428571428,7,-0.30000000000000004
2019Q1,174,0.38095238095238093,120,0.27659574468085113,30,0.875,15,0.875,9,0.2857142857142858
2019Q2,186,0.06896551724137923,125,0.04166666666666674,35,0.16666666666666674,15,0.0,11,0.22222222222222232
2019Q3,168,-0.09677419354838712,117,-0.06399999999999995,26,-0.2571428571428571,13,-0.1333333333333333,12,0.09090909090909083
2019Q4,154,-0.08333333333333337,107,-0.0854700854700855,29,0.11538461538461542,10,-0.23076923076923073,8,-0.33333333333333337
2020Q1,181,0.17532467532467533,125,0.16822429906542058,32,0.10344827586206895,16,0.6000000000000001,8,0.0
2020Q2,196,0.08287292817679548,131,0.04800000000000004,40,0.25,16,0.0,8,0.0
2020Q3,243,0.23979591836734704,172,0.3129770992366412,45,0.125,16,0.0,10,0.25
2020Q4,202,-0.16872427983539096,139,-0.19186046511627908,37,-0.1777777777777778,15,-0.0625,10,0.0
2021Q1,229,0.13366336633663356,163,0.17266187050359716,43,0.16216216216216206,14,-0.06666666666666665,10,0.0
2021Q2,200,-0.1266375545851528,148,-0.09202453987730064,26,-0.39534883720930236,13,-0.0714285714285714,13,0.30000000000000004
2021Q3,175,-0.125,131,-0.11486486486486491,23,-0.11538461538461542,8,-0.3846153846153846,12,-0.07692307692307687
2021Q4,158,-0.0971428571428572,123,-0.06106870229007633,14,-0.3913043478260869,10,0.25,11,-0.08333333333333337
